Gene stable ID,Gene description,Gene type,Gene name
ENSG00000160877,nucleus accumbens associated 1 [Source:HGNC Symbol;Acc:HGNC:20967],protein_coding,NACC1
ENSG00000307194,novel transcript,lncRNA,
ENSG00000225497,KCNMA1 antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:51214],lncRNA,KCNMA1-AS2
ENSG00000307203,novel transcript,lncRNA,
ENSG00000307209,"novel transcript, antisense to PLEKHG3",lncRNA,
ENSG00000236958,novel transcript,lncRNA,
ENSG00000232139,long intergenic non-protein coding RNA 867 [Source:HGNC Symbol;Acc:HGNC:45265],lncRNA,LINC00867
ENSG00000289290,novel transcript,lncRNA,
ENSG00000232937,novel transcript,lncRNA,
ENSG00000307255,"novel transcript, antisense to SIVA1",lncRNA,
ENSG00000307271,novel transcript,lncRNA,
ENSG00000269489,novel transcript,lncRNA,
ENSG00000258940,MIA2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:55436],lncRNA,MIA2-AS1
ENSG00000099341,"proteasome 26S subunit, non-ATPase 8 [Source:HGNC Symbol;Acc:HGNC:9566]",protein_coding,PSMD8
ENSG00000213171,leucine rich repeat and Ig domain containing 4 [Source:HGNC Symbol;Acc:HGNC:31814],protein_coding,LINGO4
ENSG00000307333,novel transcript,lncRNA,
ENSG00000258884,long intergenic non-protein coding RNA 2321 [Source:HGNC Symbol;Acc:HGNC:53240],lncRNA,LINC02321
ENSG00000196407,thioesterase superfamily member 5 [Source:HGNC Symbol;Acc:HGNC:26755],protein_coding,THEM5
ENSG00000240498,CDKN2B antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:34341],lncRNA,CDKN2B-AS1
ENSG00000159445,thioesterase superfamily member 4 [Source:HGNC Symbol;Acc:HGNC:17947],protein_coding,THEM4
ENSG00000172489,olfactory receptor family 5 subfamily T member 3 [Source:HGNC Symbol;Acc:HGNC:15297],protein_coding,OR5T3
ENSG00000277932,olfactory receptor family 52 subfamily E member 5 [Source:HGNC Symbol;Acc:HGNC:15214],protein_coding,OR52E5
ENSG00000307352,novel transcript,lncRNA,
ENSG00000307417,"novel transcript, antisense to EML1",lncRNA,
ENSG00000299423,novel transcript,lncRNA,
ENSG00000177030,DEAF1 transcription factor [Source:HGNC Symbol;Acc:HGNC:14677],protein_coding,DEAF1
ENSG00000299437,novel transcript,lncRNA,
ENSG00000112282,mediator complex subunit 23 [Source:HGNC Symbol;Acc:HGNC:2372],protein_coding,MED23
ENSG00000299483,"novel transcript, antisense to LIPA",lncRNA,
ENSG00000299486,"novel transcript, antisense to TACR2",lncRNA,
ENSG00000223810,keratin 8 pseudogene 28 [Source:HGNC Symbol;Acc:HGNC:33380],processed_pseudogene,KRT8P28
ENSG00000231233,CFAP58 divergent transcript [Source:HGNC Symbol;Acc:HGNC:45243],lncRNA,CFAP58-DT
ENSG00000197747,S100 calcium binding protein A10 [Source:HGNC Symbol;Acc:HGNC:10487],protein_coding,S100A10
ENSG00000299501,novel transcript,lncRNA,
ENSG00000226426,novel transcript,lncRNA,
ENSG00000307462,novel transcript,lncRNA,
ENSG00000307477,novel transcript,lncRNA,
ENSG00000307479,"novel transcript, antisense to GPHN",lncRNA,
ENSG00000222359,"RNA, U6 small nuclear 355, pseudogene [Source:HGNC Symbol;Acc:HGNC:47318]",snRNA,RNU6-355P
ENSG00000258532,long intergenic non-protein coding RNA 2305 [Source:HGNC Symbol;Acc:HGNC:53224],lncRNA,LINC02305
ENSG00000123473,STIL centriolar assembly protein [Source:HGNC Symbol;Acc:HGNC:10879],protein_coding,STIL
ENSG00000140718,FTO alpha-ketoglutarate dependent dioxygenase [Source:HGNC Symbol;Acc:HGNC:24678],protein_coding,FTO
ENSG00000164118,centrosomal protein 44 [Source:HGNC Symbol;Acc:HGNC:29356],protein_coding,CEP44
ENSG00000307514,novel transcript,lncRNA,
ENSG00000065000,adaptor related protein complex 3 subunit delta 1 [Source:HGNC Symbol;Acc:HGNC:568],protein_coding,AP3D1
ENSG00000296752,novel transcript,lncRNA,
ENSG00000244501,"RNA, 7SL, cytoplasmic 623, pseudogene [Source:HGNC Symbol;Acc:HGNC:46639]",misc_RNA,RN7SL623P
ENSG00000253966,"tubulin, epsilon 1 (TUBE1) pseudogene",processed_pseudogene,
ENSG00000307639,novel transcript,lncRNA,
ENSG00000182836,phosphatidylinositol specific phospholipase C X domain containing 3 [Source:HGNC Symbol;Acc:HGNC:31822],protein_coding,PLCXD3
ENSG00000258670,"novel transcript, antisense to C14orf39",lncRNA,
ENSG00000290688,novel transcript,lncRNA,
ENSG00000164329,terminal nucleotidyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:26776],protein_coding,TENT2
ENSG00000286040,novel transcript,lncRNA,
ENSG00000228683,novel transcript,lncRNA,
ENSG00000123612,activin A receptor type 1C [Source:HGNC Symbol;Acc:HGNC:18123],protein_coding,ACVR1C
ENSG00000307731,novel transcript,lncRNA,
ENSG00000307737,novel transcript,lncRNA,
ENSG00000307744,novel transcript,lncRNA,
ENSG00000286099,novel transcript,lncRNA,
ENSG00000237357,family with sequence similarity 88 member E [Source:HGNC Symbol;Acc:HGNC:56161],lncRNA,FAM88E
ENSG00000307754,novel transcript,lncRNA,
ENSG00000299544,novel transcript,lncRNA,
ENSG00000307766,novel transcript,lncRNA,
ENSG00000299548,novel transcript,lncRNA,
ENSG00000307769,novel transcript,lncRNA,
ENSG00000163931,transketolase [Source:HGNC Symbol;Acc:HGNC:11834],protein_coding,TKT
ENSG00000307786,novel transcript,lncRNA,
ENSG00000299560,novel transcript,lncRNA,
ENSG00000258826,long intergenic non-protein coding RNA 1147 [Source:HGNC Symbol;Acc:HGNC:49468],lncRNA,LINC01147
ENSG00000299562,novel transcript,lncRNA,
ENSG00000306000,novel transcript,lncRNA,
ENSG00000224190,long intergenic non-protein coding RNA 2667 [Source:HGNC Symbol;Acc:HGNC:54153],lncRNA,LINC02667
ENSG00000306005,novel transcript,lncRNA,
ENSG00000254031,novel transcript,lncRNA,
ENSG00000227695,DNMBP antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:20431],lncRNA,DNMBP-AS1
ENSG00000306055,novel transcript,lncRNA,
ENSG00000285712,novel transcript,lncRNA,
ENSG00000306077,novel transcript,lncRNA,
ENSG00000306080,"novel transcript, sense intronic to PSD3",lncRNA,
ENSG00000306089,novel transcript,lncRNA,
ENSG00000258975,novel transcript,lncRNA,
ENSG00000306096,"novel transcript, sense intronic to PSD3",lncRNA,
ENSG00000306106,novel transcript,lncRNA,
ENSG00000306133,"novel transcript, antisense to FUT10",lncRNA,
ENSG00000162105,SH3 and multiple ankyrin repeat domains 2 [Source:HGNC Symbol;Acc:HGNC:14295],protein_coding,SHANK2
ENSG00000248964,novel transcript,lncRNA,
ENSG00000249875,novel transcript,lncRNA,
ENSG00000248305,armadillo repeat containing 1 (ARMC1) pseudogene,processed_pseudogene,
ENSG00000248795,NIN1/RPN12 binding protein 1 homolog (S. cerevisiae) (NOB1) pseudogene,processed_pseudogene,
ENSG00000250977,novel transcript,lncRNA,
ENSG00000258875,"novel transcript, antisense to GPR68",lncRNA,
ENSG00000115170,activin A receptor type 1 [Source:HGNC Symbol;Acc:HGNC:171],protein_coding,ACVR1
ENSG00000249262,mitochondrial ribosomal protein L19 (MRPL19) pseudogene,processed_pseudogene,
