Gene stable ID,Gene description,Gene type,Gene name
ENSG00000210049,mitochondrially encoded tRNA-Phe (UUU/C) [Source:HGNC Symbol;Acc:HGNC:7481],Mt_tRNA,MT-TF
ENSG00000211459,mitochondrially encoded 12S rRNA [Source:HGNC Symbol;Acc:HGNC:7470],Mt_rRNA,MT-RNR1
ENSG00000210077,mitochondrially encoded tRNA-Val (GUN) [Source:HGNC Symbol;Acc:HGNC:7500],Mt_tRNA,MT-TV
ENSG00000210082,mitochondrially encoded 16S rRNA [Source:HGNC Symbol;Acc:HGNC:7471],Mt_rRNA,MT-RNR2
ENSG00000209082,mitochondrially encoded tRNA-Leu (UUA/G) 1 [Source:HGNC Symbol;Acc:HGNC:7490],Mt_tRNA,MT-TL1
ENSG00000198888,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1 [Source:HGNC Symbol;Acc:HGNC:7455],protein_coding,MT-ND1
ENSG00000210100,mitochondrially encoded tRNA-Ile (AUU/C) [Source:HGNC Symbol;Acc:HGNC:7488],Mt_tRNA,MT-TI
ENSG00000210107,mitochondrially encoded tRNA-Gln (CAA/G) [Source:HGNC Symbol;Acc:HGNC:7495],Mt_tRNA,MT-TQ
ENSG00000210112,mitochondrially encoded tRNA-Met (AUA/G) [Source:HGNC Symbol;Acc:HGNC:7492],Mt_tRNA,MT-TM
ENSG00000198763,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 [Source:HGNC Symbol;Acc:HGNC:7456],protein_coding,MT-ND2
ENSG00000210117,mitochondrially encoded tRNA-Trp (UGA/G) [Source:HGNC Symbol;Acc:HGNC:7501],Mt_tRNA,MT-TW
ENSG00000210127,mitochondrially encoded tRNA-Ala (GCN) [Source:HGNC Symbol;Acc:HGNC:7475],Mt_tRNA,MT-TA
ENSG00000210135,mitochondrially encoded tRNA-Asn (AAU/C) [Source:HGNC Symbol;Acc:HGNC:7493],Mt_tRNA,MT-TN
ENSG00000210140,mitochondrially encoded tRNA-Cys (UGU/C) [Source:HGNC Symbol;Acc:HGNC:7477],Mt_tRNA,MT-TC
ENSG00000210144,mitochondrially encoded tRNA-Tyr (UAU/C) [Source:HGNC Symbol;Acc:HGNC:7502],Mt_tRNA,MT-TY
ENSG00000198804,mitochondrially encoded cytochrome c oxidase I [Source:HGNC Symbol;Acc:HGNC:7419],protein_coding,MT-CO1
ENSG00000210151,mitochondrially encoded tRNA-Ser (UCN) 1 [Source:HGNC Symbol;Acc:HGNC:7497],Mt_tRNA,MT-TS1
ENSG00000210154,mitochondrially encoded tRNA-Asp (GAU/C) [Source:HGNC Symbol;Acc:HGNC:7478],Mt_tRNA,MT-TD
ENSG00000198712,mitochondrially encoded cytochrome c oxidase II [Source:HGNC Symbol;Acc:HGNC:7421],protein_coding,MT-CO2
ENSG00000210156,mitochondrially encoded tRNA-Lys (AAA/G) [Source:HGNC Symbol;Acc:HGNC:7489],Mt_tRNA,MT-TK
ENSG00000228253,mitochondrially encoded ATP synthase membrane subunit 8 [Source:HGNC Symbol;Acc:HGNC:7415],protein_coding,MT-ATP8
ENSG00000198899,mitochondrially encoded ATP synthase membrane subunit 6 [Source:HGNC Symbol;Acc:HGNC:7414],protein_coding,MT-ATP6
ENSG00000198938,mitochondrially encoded cytochrome c oxidase III [Source:HGNC Symbol;Acc:HGNC:7422],protein_coding,MT-CO3
ENSG00000210164,mitochondrially encoded tRNA-Gly (GGN) [Source:HGNC Symbol;Acc:HGNC:7486],Mt_tRNA,MT-TG
ENSG00000198840,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3 [Source:HGNC Symbol;Acc:HGNC:7458],protein_coding,MT-ND3
ENSG00000210174,mitochondrially encoded tRNA-Arg (CGN) [Source:HGNC Symbol;Acc:HGNC:7496],Mt_tRNA,MT-TR
ENSG00000212907,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L [Source:HGNC Symbol;Acc:HGNC:7460],protein_coding,MT-ND4L
ENSG00000198886,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 [Source:HGNC Symbol;Acc:HGNC:7459],protein_coding,MT-ND4
ENSG00000210176,mitochondrially encoded tRNA-His (CAU/C) [Source:HGNC Symbol;Acc:HGNC:7487],Mt_tRNA,MT-TH
ENSG00000210184,mitochondrially encoded tRNA-Ser (AGU/C) 2 [Source:HGNC Symbol;Acc:HGNC:7498],Mt_tRNA,MT-TS2
ENSG00000210191,mitochondrially encoded tRNA-Leu (CUN) 2 [Source:HGNC Symbol;Acc:HGNC:7491],Mt_tRNA,MT-TL2
ENSG00000198786,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 [Source:HGNC Symbol;Acc:HGNC:7461],protein_coding,MT-ND5
ENSG00000198695,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 [Source:HGNC Symbol;Acc:HGNC:7462],protein_coding,MT-ND6
ENSG00000210194,mitochondrially encoded tRNA-Glu (GAA/G) [Source:HGNC Symbol;Acc:HGNC:7479],Mt_tRNA,MT-TE
ENSG00000198727,mitochondrially encoded cytochrome b [Source:HGNC Symbol;Acc:HGNC:7427],protein_coding,MT-CYB
ENSG00000210195,mitochondrially encoded tRNA-Thr (ACN) [Source:HGNC Symbol;Acc:HGNC:7499],Mt_tRNA,MT-TT
ENSG00000210196,mitochondrially encoded tRNA-Pro (CCN) [Source:HGNC Symbol;Acc:HGNC:7494],Mt_tRNA,MT-TP
ENSG00000299200,novel transcript,lncRNA,
ENSG00000308964,novel transcript,lncRNA,
ENSG00000278457,5S ribosomal RNA [Source:RFAM;Acc:RF00001],rRNA,5S_rRNA
ENSG00000271254,,protein_coding,
ENSG00000276197,,misc_RNA,
ENSG00000278573,,pseudogene,
ENSG00000278704,,protein_coding,
ENSG00000309338,novel transcript,lncRNA,
ENSG00000309357,novel transcript,lncRNA,
ENSG00000297432,novel transcript,lncRNA,
ENSG00000297449,novel transcript,lncRNA,
ENSG00000299314,novel transcript,lncRNA,
ENSG00000295063,novel transcript,lncRNA,
ENSG00000303867,novel transcript,lncRNA,
ENSG00000309229,novel transcript,lncRNA,
ENSG00000278294,5.8S ribosomal RNA [Source:RFAM;Acc:RF00002],rRNA,5_8S_rRNA
ENSG00000274917,"RNA, 5.8S ribosomal N5 [Source:HGNC Symbol;Acc:HGNC:53533]",rRNA,RNA5-8SN5
ENSG00000307034,novel transcript,lncRNA,
ENSG00000310277,novel transcript,lncRNA,
ENSG00000273730,5.8S ribosomal RNA [Source:RFAM;Acc:RF00002],rRNA,5_8S_rRNA
ENSG00000273937,,misc_RNA,
ENSG00000277196,proline dehydrogenase 1,protein_coding,
ENSG00000308580,novel transcript,lncRNA,
ENSG00000296546,novel transcript,lncRNA,
ENSG00000303173,novel transcript,lncRNA,
ENSG00000296902,novel transcript,lncRNA,
ENSG00000297619,novel transcript,lncRNA,
ENSG00000296713,novel transcript,lncRNA,
ENSG00000305511,novel transcript,lncRNA,
ENSG00000305525,novel transcript,lncRNA,
ENSG00000278625,U6 spliceosomal RNA [Source:RFAM;Acc:RF00026],snRNA,U6
ENSG00000294644,novel transcript,lncRNA,
ENSG00000306721,novel transcript,lncRNA,
ENSG00000300051,novel transcript,lncRNA,
ENSG00000303750,novel transcript,lncRNA,
ENSG00000278817,,protein_coding,
ENSG00000276017,,protein_coding,
ENSG00000297072,novel transcript,lncRNA,
ENSG00000300074,novel transcript,lncRNA,
ENSG00000300093,novel transcript,lncRNA,
ENSG00000301131,novel transcript,lncRNA,
ENSG00000300846,novel transcript,lncRNA,
ENSG00000307470,novel transcript,lncRNA,
ENSG00000303733,novel transcript,lncRNA,
ENSG00000305236,novel transcript,lncRNA,
ENSG00000309233,novel transcript,lncRNA,
ENSG00000303902,novel transcript,lncRNA,
ENSG00000302039,novel transcript,lncRNA,
ENSG00000297844,novel transcript,lncRNA,
ENSG00000277630,,protein_coding,
ENSG00000295160,novel transcript,lncRNA,
ENSG00000300815,novel transcript,lncRNA,
ENSG00000306528,novel transcript,lncRNA,
ENSG00000304057,novel transcript,lncRNA,
ENSG00000296348,novel transcript,lncRNA,
ENSG00000277428,Y RNA [Source:RFAM;Acc:RF00019],misc_RNA,Y_RNA
ENSG00000307824,novel transcript,lncRNA,
ENSG00000276256,,protein_coding,
ENSG00000295668,novel transcript,lncRNA,
ENSG00000304745,novel transcript,lncRNA,
ENSG00000303853,novel transcript,lncRNA,
ENSG00000303221,novel transcript,lncRNA,
ENSG00000306744,novel transcript,lncRNA,
ENSG00000306767,novel transcript,lncRNA,
ENSG00000308844,novel transcript,lncRNA,
ENSG00000278793,U6 spliceosomal RNA [Source:RFAM;Acc:RF00026],snRNA,U6
ENSG00000298861,novel transcript,lncRNA,
ENSG00000308643,novel transcript,lncRNA,
ENSG00000303875,novel transcript,lncRNA,
ENSG00000303892,novel transcript,lncRNA,
ENSG00000303912,novel transcript,lncRNA,
ENSG00000308185,novel transcript,lncRNA,
ENSG00000277374,U1 spliceosomal RNA [Source:RFAM;Acc:RF00003],snRNA,U1
ENSG00000303573,novel transcript,lncRNA,
ENSG00000309296,novel transcript,lncRNA,
ENSG00000307722,novel transcript,lncRNA,
ENSG00000274202,U2 spliceosomal RNA [Source:RFAM;Acc:RF00004],snRNA,U2
ENSG00000310401,novel transcript,lncRNA,
ENSG00000309793,novel transcript,lncRNA,
ENSG00000304792,novel transcript,lncRNA,
ENSG00000304816,novel transcript,lncRNA,
ENSG00000309831,novel transcript,lncRNA,
ENSG00000309258,novel transcript,lncRNA,
ENSG00000304845,novel transcript,lncRNA,
ENSG00000275987,U1 spliceosomal RNA [Source:RFAM;Acc:RF00003],snRNA,U1
ENSG00000268674,,protein_coding,
ENSG00000277475,,protein_coding,
ENSG00000275405,U1 spliceosomal RNA [Source:RFAM;Acc:RF00003],snRNA,U1
ENSG00000298139,novel transcript,lncRNA,
ENSG00000301573,novel transcript,lncRNA,
ENSG00000301587,novel transcript,lncRNA,
ENSG00000298153,novel transcript,lncRNA,
ENSG00000298169,novel transcript,lncRNA,
ENSG00000298181,novel transcript,lncRNA,
ENSG00000273748,,protein_coding,
ENSG00000296581,novel transcript,lncRNA,
ENSG00000297972,novel transcript,lncRNA,
ENSG00000293919,novel transcript,lncRNA,
ENSG00000296598,novel transcript,lncRNA,
ENSG00000300519,novel transcript,lncRNA,
ENSG00000278633,,protein_coding,
ENSG00000278066,,pseudogene,
ENSG00000296618,novel transcript,lncRNA,
ENSG00000276711,U2 spliceosomal RNA [Source:RFAM;Acc:RF00004],snRNA,U2
ENSG00000295378,novel transcript,lncRNA,
ENSG00000302961,novel transcript,lncRNA,
ENSG00000304422,novel transcript,lncRNA,
ENSG00000275661,,misc_RNA,
ENSG00000276351,,misc_RNA,
ENSG00000276345,,protein_coding,
ENSG00000273532,,misc_RNA,
ENSG00000294171,novel transcript,lncRNA,
ENSG00000297558,novel transcript,lncRNA,
ENSG00000298095,novel transcript,lncRNA,
ENSG00000296634,novel transcript,lncRNA,
ENSG00000303588,novel transcript,lncRNA,
ENSG00000293939,novel transcript,lncRNA,
ENSG00000294191,novel transcript,lncRNA,
ENSG00000308966,novel transcript,lncRNA,
ENSG00000293969,novel transcript,lncRNA,
ENSG00000309079,novel transcript,lncRNA,
ENSG00000299852,novel transcript,lncRNA,
ENSG00000299870,novel transcript,lncRNA,
ENSG00000299885,novel transcript,lncRNA,
ENSG00000277400,,protein_coding,
ENSG00000274847,MAFF interacting protein [Source:HGNC Symbol;Acc:HGNC:31102],protein_coding,MAFIP
ENSG00000307061,novel transcript,lncRNA,
ENSG00000298772,"novel transcript, antisense to MAFIP",lncRNA,
ENSG00000276312,,misc_RNA,
ENSG00000276700,"RNA, 5.8S ribosomal N4 [Source:HGNC Symbol;Acc:HGNC:53529]",rRNA,RNA5-8SN4
ENSG00000275757,5.8S ribosomal RNA [Source:RFAM;Acc:RF00002],rRNA,5_8S_rRNA
ENSG00000273739,,misc_RNA,
ENSG00000298142,novel transcript,lncRNA,
ENSG00000301406,novel transcript,lncRNA,
ENSG00000307206,novel transcript,lncRNA,
ENSG00000307077,novel transcript,lncRNA,
ENSG00000310376,novel transcript,lncRNA,
ENSG00000298793,novel transcript,lncRNA,
ENSG00000310392,novel transcript,lncRNA,
ENSG00000306938,novel transcript,lncRNA,
ENSG00000310347,novel transcript,lncRNA,
ENSG00000276932,Y RNA [Source:RFAM;Acc:RF00019],misc_RNA,Y_RNA
ENSG00000302801,novel transcript,lncRNA,
ENSG00000307088,novel transcript,lncRNA,
ENSG00000306402,novel transcript,lncRNA,
ENSG00000293753,novel transcript,lncRNA,
ENSG00000299010,novel transcript,lncRNA,
ENSG00000275063,,protein_coding,
ENSG00000277856,,protein_coding,
ENSG00000298751,novel transcript,lncRNA,
ENSG00000298769,novel transcript,lncRNA,
ENSG00000301091,novel transcript,lncRNA,
ENSG00000303154,novel transcript,lncRNA,
ENSG00000278384,,protein_coding,
ENSG00000301761,novel transcript,lncRNA,
ENSG00000307122,novel transcript,lncRNA,
ENSG00000307143,novel transcript,lncRNA,
ENSG00000307166,novel transcript,lncRNA,
ENSG00000274175,,protein_coding,
ENSG00000273554,,protein_coding,
ENSG00000275869,,protein_coding,
ENSG00000278510,,processed_pseudogene,
ENSG00000273843,,processed_pseudogene,
ENSG00000277836,,protein_coding,
ENSG00000294926,novel transcript,lncRNA,
ENSG00000295260,novel transcript,lncRNA,
ENSG00000295285,novel transcript,lncRNA,
ENSG00000295455,novel transcript,lncRNA,
ENSG00000295648,novel transcript,lncRNA,
ENSG00000296644,novel transcript,lncRNA,
ENSG00000301787,novel transcript,lncRNA,
ENSG00000296798,novel transcript,lncRNA,
ENSG00000297394,novel transcript,lncRNA,
ENSG00000297936,novel transcript,lncRNA,
ENSG00000300662,novel transcript,lncRNA,
ENSG00000301410,novel transcript,lncRNA,
ENSG00000303548,novel transcript,lncRNA,
ENSG00000303746,novel transcript,lncRNA,
ENSG00000304032,novel transcript,lncRNA,
ENSG00000304964,novel transcript,lncRNA,
ENSG00000305027,novel transcript,lncRNA,
ENSG00000305713,novel transcript,lncRNA,
ENSG00000306124,novel transcript,lncRNA,
ENSG00000307249,novel transcript,lncRNA,
ENSG00000308567,novel transcript,lncRNA,
ENSG00000306474,novel transcript,lncRNA,
ENSG00000309335,novel transcript,lncRNA,
ENSG00000310156,novel transcript,lncRNA,
ENSG00000296732,novel transcript,lncRNA,
ENSG00000306526,novel transcript,lncRNA,
ENSG00000296756,novel transcript,lncRNA,
ENSG00000296775,novel transcript,lncRNA,
ENSG00000298469,novel transcript,lncRNA,
ENSG00000306901,novel transcript,lncRNA,
ENSG00000277890,U6 spliceosomal RNA [Source:RFAM;Acc:RF00026],snRNA,U6
ENSG00000275249,,protein_coding,
ENSG00000274792,,protein_coding,
ENSG00000276872,,pseudogene,
ENSG00000276760,,protein_coding,
ENSG00000277927,U6 spliceosomal RNA [Source:RFAM;Acc:RF00026],snRNA,U6
ENSG00000294368,novel transcript,lncRNA,
ENSG00000294897,novel transcript,lncRNA,
ENSG00000297236,novel transcript,lncRNA,
ENSG00000307608,novel transcript,lncRNA,
ENSG00000309787,novel transcript,lncRNA,
ENSG00000309802,novel transcript,lncRNA,
ENSG00000278673,,pseudogene,
ENSG00000294916,novel transcript,lncRNA,
ENSG00000291360,ribosomal protein L23a pseudogene 45 [Source:HGNC Symbol;Acc:HGNC:36896],processed_pseudogene,RPL23AP45
ENSG00000291361,zinc finger protein pseudogene,processed_pseudogene,
ENSG00000291362,chromosome 8 open reading frame 33 [Source:HGNC Symbol;Acc:HGNC:26104],protein_coding,C8orf33
ENSG00000291364,long intergenic non-protein coding RNA 2688 [Source:HGNC Symbol;Acc:HGNC:54184],lncRNA,LINC02688
ENSG00000291363,"mucin 5AC, oligomeric mucus/gel-forming [Source:HGNC Symbol;Acc:HGNC:7515]",protein_coding,MUC5AC
ENSG00000293532,"mucin 2, oligomeric mucus/gel-forming [Source:HGNC Symbol;Acc:HGNC:7512]",protein_coding,MUC2
ENSG00000288360,zinc finger SWIM-type containing 4 [Source:HGNC Symbol;Acc:HGNC:25704],protein_coding,ZSWIM4
ENSG00000288519,"novel transcript, antisense to ZSWIM4",lncRNA,
ENSG00000288240,"RNA, 7SL, cytoplasmic 619, pseudogene [Source:HGNC Symbol;Acc:HGNC:46635]",misc_RNA,RN7SL619P
ENSG00000288498,miR-23a/27a/24-2 cluster host gene [Source:HGNC Symbol;Acc:HGNC:27620],lncRNA,MIR23AHG
ENSG00000288126,microRNA 24-2 [Source:HGNC Symbol;Acc:HGNC:31608],miRNA,MIR24-2
ENSG00000288183,microRNA 27a [Source:HGNC Symbol;Acc:HGNC:31613],miRNA,MIR27A
ENSG00000288462,microRNA 23a [Source:HGNC Symbol;Acc:HGNC:31605],miRNA,MIR23A
ENSG00000288505,nanos C2HC-type zinc finger 3 [Source:HGNC Symbol;Acc:HGNC:22048],protein_coding,NANOS3
ENSG00000288397,microRNA 181c [Source:HGNC Symbol;Acc:HGNC:31552],miRNA,MIR181C
ENSG00000288329,microRNA 181d [Source:HGNC Symbol;Acc:HGNC:32089],miRNA,MIR181D
ENSG00000288152,break repair meiotic recombinase recruitment factor 1 [Source:HGNC Symbol;Acc:HGNC:28153],protein_coding,BRME1
ENSG00000288293,coiled-coil and C2 domain containing 1A [Source:HGNC Symbol;Acc:HGNC:30237],protein_coding,CC2D1A
ENSG00000288195,podocan like 1 [Source:HGNC Symbol;Acc:HGNC:26275],protein_coding,PODNL1
ENSG00000288453,DDB1 and CUL4 associated factor 15 [Source:HGNC Symbol;Acc:HGNC:25095],protein_coding,DCAF15
ENSG00000288283,regulatory factor X1 [Source:HGNC Symbol;Acc:HGNC:9982],protein_coding,RFX1
ENSG00000288351,"novel transcript, antisense to RFX1",lncRNA,
ENSG00000288474,relaxin 3 [Source:HGNC Symbol;Acc:HGNC:17135],protein_coding,RLN3
ENSG00000288441,"novel transcript, antisense to RLN3",lncRNA,
ENSG00000288185,interleukin 27 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:17290],protein_coding,IL27RA
ENSG00000288318,paralemmin 3 [Source:HGNC Symbol;Acc:HGNC:33274],protein_coding,PALM3
ENSG00000288278,eukaryotic translation elongation factor 1 delta pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:32474],processed_pseudogene,EEF1DP1
ENSG00000288191,MISP family member 3 [Source:HGNC Symbol;Acc:HGNC:26963],protein_coding,MISP3
ENSG00000288366,microRNA 1199 [Source:HGNC Symbol;Acc:HGNC:50081],miRNA,MIR1199
ENSG00000288239,chromosome 19 open reading frame 67 [Source:HGNC Symbol;Acc:HGNC:34354],protein_coding,C19orf67
ENSG00000288516,protein kinase cAMP-activated catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:9380],protein_coding,PRKACA
ENSG00000288496,"novel transcript, antisense to ASF1B",lncRNA,
ENSG00000288210,anti-silencing function 1B histone chaperone [Source:HGNC Symbol;Acc:HGNC:20996],protein_coding,ASF1B
ENSG00000288348,ADGRL1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:55309],lncRNA,ADGRL1-AS1
ENSG00000288324,adhesion G protein-coupled receptor L1 [Source:HGNC Symbol;Acc:HGNC:20973],protein_coding,ADGRL1
ENSG00000288289,"RNA, 7SL, cytoplasmic 231, pseudogene [Source:HGNC Symbol;Acc:HGNC:46247]",misc_RNA,RN7SL231P
ENSG00000288425,novel transcript,lncRNA,
ENSG00000288433,novel transcript,lncRNA,
ENSG00000288488,sterile alpha motif domain containing 1 [Source:HGNC Symbol;Acc:HGNC:17958],protein_coding,SAMD1
ENSG00000291365,contactin associated protein family member 3C [Source:HGNC Symbol;Acc:HGNC:53878],protein_coding,CNTNAP3C
ENSG00000291366,"RNA, 7SL, cytoplasmic 462, pseudogene [Source:HGNC Symbol;Acc:HGNC:46478]",misc_RNA,RN7SL462P
ENSG00000280864,novel transcript,lncRNA,
ENSG00000281822,"RNA, U1 small nuclear 62, pseudogene [Source:HGNC Symbol;Acc:HGNC:48404]",snRNA,RNU1-62P
ENSG00000280505,MT-CO3 pseudogene 47 [Source:HGNC Symbol;Acc:HGNC:56430],processed_pseudogene,MTCO3P47
ENSG00000280775,"RNA, 5S ribosomal pseudogene 136 [Source:HGNC Symbol;Acc:HGNC:43036]",rRNA_pseudogene,RNA5SP136
ENSG00000281766,RING1 and YY1 binding protein [Source:HGNC Symbol;Acc:HGNC:10480],protein_coding,RYBP
ENSG00000288175,synaptotagmin 15B [Source:HGNC Symbol;Acc:HGNC:51487],protein_coding,SYT15B
ENSG00000288244,novel transcript,lncRNA,
ENSG00000288157,neuropeptide Y receptor Y4-2 [Source:HGNC Symbol;Acc:HGNC:52383],protein_coding,NPY4R2
ENSG00000288304,novel transcript,lncRNA,
ENSG00000288481,family with sequence similarity 25 member C [Source:HGNC Symbol;Acc:HGNC:23586],protein_coding,FAM25C
ENSG00000288424,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 12, pseudogene [Source:HGNC Symbol;Acc:HGNC:23661]",transcribed_unprocessed_pseudogene,AGAP12P
ENSG00000290627,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 12, pseudogene [Source:NCBI gene (formerly Entrezgene);Acc:414224]",lncRNA,AGAP12P
ENSG00000288201,"RNA, 5S ribosomal pseudogene 315 [Source:HGNC Symbol;Acc:HGNC:43215]",rRNA_pseudogene,RNA5SP315
ENSG00000288196,BMS1 pseudogene 7 [Source:HGNC Symbol;Acc:HGNC:23655],transcribed_unprocessed_pseudogene,BMS1P7
ENSG00000288457,G protein regulated inducer of neurite outgrowth 2 (GPRIN2) pseudogene,unprocessed_pseudogene,
ENSG00000288522,novel transcript,lncRNA,
ENSG00000288204,H6 family homeobox 1 [Source:HGNC Symbol;Acc:HGNC:5017],protein_coding,HMX1
ENSG00000288247,"novel transcript, sense intronic to HMX1",lncRNA,
ENSG00000292327,protein phosphatase 2 regulatory subunit B''beta [Source:HGNC Symbol;Acc:HGNC:13417],protein_coding,PPP2R3B
ENSG00000292328,ribosomal protein L14 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:37720],processed_pseudogene,RPL14P5
ENSG00000292329,regucalcin (RGN) pseudogene,unprocessed_pseudogene,
ENSG00000292332,interleukin 3 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:6012],protein_coding,IL3RA
ENSG00000292333,P2Y receptor family member 8 [Source:HGNC Symbol;Acc:HGNC:15524],protein_coding,P2RY8
ENSG00000292334,solute carrier family 25 member 6 [Source:HGNC Symbol;Acc:HGNC:10992],protein_coding,SLC25A6
ENSG00000292337,DHRSX intronic transcript 1 [Source:HGNC Symbol;Acc:HGNC:38713],lncRNA,DHRSX-IT1
ENSG00000292338,dehydrogenase/reductase X-linked [Source:HGNC Symbol;Acc:HGNC:18399],protein_coding,DHRSX
ENSG00000292339,acetylserotonin O-methyltransferase like [Source:HGNC Symbol;Acc:HGNC:751],protein_coding,ASMTL
ENSG00000292342,long intergenic non-protein coding RNA 685 [Source:HGNC Symbol;Acc:HGNC:27560],lncRNA,LINC00685
ENSG00000292344,phosphatidylinositol specific phospholipase C X domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23148],protein_coding,PLCXD1
ENSG00000292345,zinc finger BED-type containing 1 [Source:HGNC Symbol;Acc:HGNC:447],protein_coding,ZBED1
ENSG00000292346,microRNA 6089 [Source:HGNC Symbol;Acc:HGNC:50179],miRNA,MIR6089
ENSG00000292347,long intergenic non-protein coding RNA 102 [Source:HGNC Symbol;Acc:HGNC:30470],lncRNA,LINC00102
ENSG00000292348,CD99 molecule (Xg blood group) [Source:HGNC Symbol;Acc:HGNC:7082],protein_coding,CD99
ENSG00000292350,Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017],misc_RNA,Metazoa_SRP
ENSG00000292352,fatty acid binding protein 5 pseudogene 13 [Source:HGNC Symbol;Acc:HGNC:38717],processed_pseudogene,FABP5P13
ENSG00000292353,keratin 18 pseudogene 53 [Source:HGNC Symbol;Acc:HGNC:38714],processed_pseudogene,KRT18P53
ENSG00000292354,SHOX homeobox [Source:HGNC Symbol;Acc:HGNC:10853],protein_coding,SHOX
ENSG00000292355,microRNA 3690 [Source:HGNC Symbol;Acc:HGNC:38967],miRNA,MIR3690
ENSG00000292356,"RNA, 5S ribosomal pseudogene 498 [Source:HGNC Symbol;Acc:HGNC:43398]",rRNA_pseudogene,RNA5SP498
ENSG00000292361,CD99 molecule pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:7083],transcribed_unprocessed_pseudogene,CD99P1
ENSG00000292363,cytokine receptor like factor 2 [Source:HGNC Symbol;Acc:HGNC:14281],protein_coding,CRLF2
ENSG00000292343,A-kinase anchoring protein 17A [Source:HGNC Symbol;Acc:HGNC:18783],protein_coding,AKAP17A
ENSG00000292336,acetylserotonin O-methyltransferase [Source:HGNC Symbol;Acc:HGNC:750],protein_coding,ASMT
ENSG00000292330,novel transcript,lncRNA,
ENSG00000292357,colony stimulating factor 2 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:2435],protein_coding,CSF2RA
ENSG00000310541,novel transcript,lncRNA,
ENSG00000310543,novel transcript,lncRNA,
ENSG00000310544,novel transcript,lncRNA,
ENSG00000310545,novel transcript,lncRNA,
ENSG00000310546,novel transcript,lncRNA,
ENSG00000292331,ASMTL antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:25811],lncRNA,ASMTL-AS1
ENSG00000310547,novel transcript,lncRNA,
ENSG00000310548,novel transcript,lncRNA,
ENSG00000292349,"novel transcript, antisense to PPP2R3B",lncRNA,
ENSG00000292341,long intergenic non-protein coding RNA 106 [Source:HGNC Symbol;Acc:HGNC:31843],lncRNA,LINC00106
ENSG00000310549,"novel transcript, antisense to IL3RA",lncRNA,
ENSG00000310551,"novel transcript, antisense to DHRSX and ZBED1",lncRNA,
ENSG00000310552,novel transcript,lncRNA,
ENSG00000292335,novel transcript,lncRNA,
ENSG00000310553,novel transcript,lncRNA,
ENSG00000310554,"novel transcript, antisense to PLCXD1",lncRNA,
ENSG00000310556,novel transcript,lncRNA,
ENSG00000310540,long intergenic non-protein coding RNA 2968 [Source:HGNC Symbol;Acc:HGNC:56008],lncRNA,LINC02968
ENSG00000288372,novel transcript,lncRNA,
ENSG00000288288,novel transcript,lncRNA,
ENSG00000288129,novel transcript,lncRNA,
ENSG00000288472,long intergenic non-protein coding RNA 3015 [Source:HGNC Symbol;Acc:HGNC:56143],lncRNA,LINC03015
ENSG00000292362,CD99 molecule pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:7083],lncRNA,CD99P1
ENSG00000288417,long intergenic non-protein coding RNA 3014 [Source:HGNC Symbol;Acc:HGNC:56142],lncRNA,LINC03014
ENSG00000288502,novel transcript,lncRNA,
ENSG00000288311,novel transcript,lncRNA,
ENSG00000288449,novel transcript,lncRNA,
ENSG00000288499,FAM20C golgi associated secretory pathway kinase [Source:HGNC Symbol;Acc:HGNC:22140],protein_coding,FAM20C
ENSG00000288159,TEC,TEC,
ENSG00000288431,,protein_coding,
ENSG00000292360,long intergenic non-protein coding RNA 3112 [Source:HGNC Symbol;Acc:HGNC:56853],lncRNA,LINC03112
ENSG00000310557,novel transcript,lncRNA,
ENSG00000292358,GTP binding protein 6 (putative) [Source:HGNC Symbol;Acc:HGNC:30189],protein_coding,GTPBP6
ENSG00000292364,adenosylmethionine decarboxylase 1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:460],processed_pseudogene,AMD1P2
ENSG00000292365,diphthamide biosynthesis 3 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:38719],processed_pseudogene,DPH3P2
ENSG00000292366,vesicle associated membrane protein 7 [Source:HGNC Symbol;Acc:HGNC:11486],protein_coding,VAMP7
