cl_id	cl_name	cl_idx
CL:0002468	Gr1-low myeloid suppressor cell	1556
CL:0002469	MHC-II-negative classical monocyte	-1557
CL:0002470	MHC-II-positive classical monocyte	1558
CL:0002471	MHC-II-negative non-classical monocyte	-1559
CL:0002472	MHC-II-low non-classical monocyte	1560
CL:0002473	MHC-II-high non-classical monocyte	1561
CL:0002474	lymphoid MHC-II-negative classical monocyte	1562
CL:0002475	lymphoid MHC-II-negative non-classical monocyte	1563
CL:0002476	bone marrow macrophage	1564
CL:0002477	adipose macrophage	-1565
CL:0002478	F4/80-negative adipose macrophage	1566
CL:0002479	F4/80-positive adipose macrophage	1567
CL:0002489	double negative thymocyte	-1577
CL:0002496	intraepithelial lymphocyte	-1584
CL:0002505	liver CD103-negative dendritic cell	1593
CL:0002506	liver CD103-positive dendritic cell	1594
CL:0002507	langerin-positive lymph node dendritic cell	-1595
CL:0002508	langerin-negative, CD103-negative lymph node dendritic cell	-1596
CL:0002509	CD103-positive, langerin-positive lymph node dendritic cell	1597
CL:0002510	CD103-negative, langerin-positive lymph node dendritic cell	1598
CL:0002511	CD11b-low, CD103-negative, langerin-negative lymph node dendritic cell	1599
CL:0002512	CD11b-high, CD103-negative, langerin-negative lymph node dendritic cell	1600
CL:0002513	Vgamma5-positive CD8-alpha alpha positive gamma-delta intraepithelial T cell	1601
CL:0002514	Vgamma5-negative CD8-alpha alpha positive gamma-delta intraepithelial T cell	1602
CL:0002526	CD14-positive dermal dendritic cell	-1614
CL:0002527	immature CD14-positive dermal dendritic cell	1615
CL:0002528	mature CD14-positive dermal dendritic cell	1616
CL:0002529	CD1a-positive dermal dendritic cell	-1617
CL:0002530	immature CD1a-positive dermal dendritic cell	1618
CL:0002531	mature CD1a-positive dermal dendritic cell	1619
CL:0002532	CD16-positive myeloid dendritic cell	-1620
CL:0002533	immature CD16-positive myeloid dendritic cell	1621
CL:0002534	mature CD16-positive myeloid dendritic cell	1622
CL:0002628	immature microglial cell	1716
CL:0002629	mature microglial cell	1717
CL:0002677	naive regulatory T cell	-1765
CL:0002678	memory regulatory T cell	-1766
CL:0002679	natural helper lymphocyte	1767
CL:0008001	hematopoietic precursor cell	-1927
CL:0009007	gastrointestinal tract (lamina propria) macrophage of small intestine	1987
CL:0009008	gastrointestinal tract (lamina propria) macrophage of large intestine	1988
CL:0009014	Peyer's patch lymphocyte	-1994
CL:0009015	Peyer's patch follicular dendritic cell	1995
CL:0009018	lymphocyte of large intestine lamina propria	1998
CL:0009023	small intestine Peyer's patch T cell	2003
CL:0009031	T cell of appendix	2011
CL:0009032	B cell of appendix	2012
CL:0009033	plasma cell of appendix	2013
CL:0009034	dendritic cell of appendix	2014
CL:0009036	appendix macrophage	2016
CL:0009037	lymph node mantle zone B cell	2017
CL:0009038	colon macrophage	2018
CL:0009044	lymphocyte of small intestine lamina propria	2024
CL:0009045	B cell of medullary sinus of lymph node	2025
CL:0009046	T cell of medullary sinus of lymph node	2026
CL:0009047	macrophage of medullary sinus of lymph node	2027
CL:0009048	anorectum macrophage	2028
CL:0009050	B cell of anorectum	2030
CL:0009051	T cell of anorectum	2031
CL:0009059	plasma cell of medullary sinus of lymph node	2039
CL:0009060	marginal zone B cell of lymph node	2040
CL:0009062	germinal center T cell	2042
CL:0009064	lymph node paracortex T cell	2044
CL:0009068	CD8aa(I) thymocyte	2048
CL:0009069	CD8aa(II) thymocyte	2049
CL:0009081	specified double negative thymocyte (Homo sapiens)	2061
CL:0009082	committed double negative thymocyte (Homo sapiens)	2062
CL:0009083	rearranging double negative thymocyte (Homo sapiens)	2063
CL:0009111	centrocyte	2091
CL:0009112	centroblast	2092
CL:0009113	T follicular regulatory cell	2093
CL:0009114	monocytoid B cell	2094
CL:0010004	mononuclear cell of bone marrow	-2101
CL:0011008	embryonic hemocyte	-2126
CL:0011009	embryonic plasmatocyte	2127
CL:0011018	lymphoid tissue–inducer cell	2136
CL:0011024	double negative T regulatory cell	2142
CL:0011025	exhausted T cell	2143
CL:0011031	monocyte-derived dendritic cell	2149
CL:0011114	segmented neutrophil of bone marrow	2165
CL:0017005	lymphoblast	-2176
CL:0017006	B-lymphoblast	2177
CL:0017009	Axl+ dendritic cell, human	2178
CL:0019015	lung parenchyma resident eosinophil	2194
CL:1000695	kidney interstitial alternatively activated macrophage	2475
CL:1000696	kidney interstitial inflammatory macrophage	2476
CL:1000697	kidney interstitial suppressor macrophage	2477
CL:1000698	kidney resident macrophage	2478
CL:1000699	kidney resident dendritic cell	2479
CL:1001603	lung macrophage	-2605
CL:1001610	bone marrow hematopoietic cell	-2610
CL:2000001	peripheral blood mononuclear cell	-2614
CL:2000006	tonsil germinal center B cell	2618
CL:2000054	hepatic pit cell	2666
CL:2000055	liver dendritic cell	2667
CL:2000074	splenocyte	-2686
CL:2000085	mononuclear cell of umbilical cord	2697
CL:2000095	cord blood hematopoietic stem cell	2707
CL:3000001	Hofbauer cell	2711
CL:4030002	effector memory CD45RA-positive, alpha-beta T cell, terminally differentiated	-2866
CL:4030029	blood lymphocyte	-2893
CL:4030030	peripheral blood lymphocyte	2894
CL:4030058	TCR-positive macrophage	2919
CL:4033018	lung megakaryocyte	2950
CL:4033038	lung resident memory CD4-positive, alpha-beta T cell	2970
CL:4033039	lung resident memory CD8-positive, alpha-beta T cell	-2971
CL:4033040	lung resident memory CD8-positive, CD103-positive, alpha-beta T cell	-2972
CL:4033041	CCL3-positive alveolar macrophage	2973
CL:4033042	metallothionein-positive alveolar macrophage	2974
CL:4033043	lung interstitial macrophage	2975
CL:4033045	lung migratory dendritic cell	2977
CL:4033064	uterine resident macrophage	2996
CL:4033065	preplasmablast	2997
CL:4033068	cycling B cell	3000
CL:4033069	cycling T cell	-3001
CL:4033070	cycling dendritic cell	3002
CL:4033071	cycling natural killer cell	3003
CL:4033072	cycling gamma-delta T cell	3004
CL:4033073	cycling monocyte	3005
CL:4033074	cycling CD8-positive, alpha-beta T cell	3006
CL:4033075	cycling CD4-positive, alpha-beta T cell	3007
CL:4033076	cycling macrophage	-3008
CL:4033077	cycling alveolar macrophage	3009
CL:4033078	cycling mononuclear phagocyte	-3010
CL:4033081	cycling myeloid cell	-3013
CL:4033086	lipid-associated macrophage	3018
CL:4033087	placental resident macrophage	-3019
CL:4033088	decidual resident macrophage	3020
CL:4033094	age-associated B cell	3026
CL:4042003	border associated macrophage	-3116
CL:4042004	choroid epiplexus macrophage	3117
CL:4042005	stromal choroid plexus macrophage	3118
CL:4042006	dural macrophage	3119
CL:4047003	cycling plasma cell	3157
CL:4047053	TREM2-positive macrophage	-3186
CL:4047054	migratory dendtritic cell	3187
CL:4047060	BAG3-positive monocyte	3189
CL:4047101	liver-resident natural killer cell	-3190
CL:4052020	lung resident granzyme K-associated CD8 T cell	3210
CL:4052021	granzyme K-associated CD8 T cell	-3211
CL:4052028	uterine natural killer cell	-3218
CL:4052032	granzyme H-associated CD8 T cell	3222
CL:4052051	uterine natural killer cell 1, human	3239
CL:4052052	uterine natural killer cell 2, human	3240
CL:4052053	uterine natural killer cell 3, human	3241
CL:4052055	mature NK T cell, human	3242
CL:4072015	monocyte-derived Kupffer cell	3268
CL:4301625	border associated macrophage (Mmus)	-3319
CL:4307132	microglial cell (Mmus)	3397
CL:4307133	BAM NN_1 Mrc1 border associated macrophage (Mmus)	3398
CL:4307134	BAM NN_1 Fos border associated macrophage (Mmus)	3399
